transcript_id	cds_start	cds_end	transcript_length	genomic_cds_starts	genomic_cds_ends
"""ENSDART00000000670"""	2733	66081	63348	28942645,28945785,28946025,28948356,28948574,28948827,28948974,28950513,28952856,28953485,28953642,28955539,28964751,28966920,28969690,28972180,28974303,28976913,28977525,28980475,28983750,28984083,28989508,28989715,28990545,29003095	28942734,28945920,28946173,28948484,28948720,28948888,28949064,28950679,28953012,28953541,28953725,28955692,28964909,28967054,28969758,28972352,28974366,28977001,28977612,28980595,28983802,28984127,28989586,28989757,28990652,29003232
"""ENSDART00000000678"""	74	2838	2764	41200574,41201021,41201596,41201851,41202186	41200934,41201189,41201761,41202090,41202296
"""ENSDART00000000693"""	118	6728	6610	41040412,41041723,41042476,41043646,41043898,41044107,41045736	41040596,41042110,41042680,41043794,41044028,41044178,41045817
"""ENSDART00000000698"""	308	2450	2142	7120688,7120952,7121286,7121543,7121781,7122058	7120744,7121019,7121417,7121672,7121922,7122182
"""ENSDART00000000744"""	346	10510	10164	25079816,25081741,25082851,25085480,25089182	25079884,25081862,25083055,25085671,25089289
"""ENSDART00000000831"""	103	4732	4629	24665437,24665606,24665861,24667537,24668854,24669041	24665500,24665770,24665985,24667738,24668927,24669241
"""ENSDART00000000876"""	1123	6621	5498	32152456,32153611,32153870,32154375,32155228,32155447	32152709,32153789,32154072,32154538,32155357,32156238
"""ENSDART00000000877"""	51	2698	2647	41191533,41191969,41192441,41192696,41193028	41191893,41192137,41192606,41192935,41193138
"""ENSDART00000000887"""	7839	27218	19379	13217419,13217739,13218049,13221238,13222675,13226292,13226474,13234424,13234626,13235722	13217477,13217817,13218200,13221323,13222868,13226393,13226525,13234542,13234723,13235794
"""ENSDART00000000948"""	369	7101	6732	28744030,28745317,28745935,28746801,28746987,28747226,28747358,28748034,28748246,28748933,28749081	28744199,28745830,28746161,28746904,28747134,28747282,28747426,28748167,28748402,28748977,28749114
"""ENSDART00000000992"""	425	6308	5883	32101627,32101841,32105318,32105868,32106145,32106901	32101711,32101959,32105444,32105948,32106208,32106970
"""ENSDART00000001092"""	330	80371	80041	43381944,43385612,43386124,43386446,43386619,43390093,43393527,43398983,43399607,43400104,43400423,43400729,43401118,43401413,43401985,43402282,43402438,43402645,43408074,43408301,43408480,43408707,43410722,43411231,43413624,43419127,43419658,43423876,43424130,43436911,43437678,43442991,43451290,43451531,43455846	43382137,43385779,43386342,43386499,43386749,43390427,43393657,43399509,43399781,43400337,43400518,43400983,43401327,43401761,43402199,43402356,43402560,43402792,43408177,43408405,43408582,43408819,43410880,43411278,43413858,43419232,43420075,43424014,43424272,43436973,43437835,43443118,43451388,43451585,43456025
"""ENSDART00000001102"""	44	85174	85130	23373727,23376828,23377031,23395146,23396824,23397009,23397204,23401720,23403746,23408073,23408371,23408567,23408750,23408925,23411929,23412464,23436896,23439434,23444997,23448337,23451281,23456033	23374350,23376881,23377142,23395288,23396900,23397120,23397239,23401881,23403876,23408259,23408464,23408669,23408852,23409026,23412003,23412583,23437015,23439475,23445106,23448446,23451378,23456098
"""ENSDART00000001159"""	1418	271822	270404	16485344,16487357,16493647,16506272,16513540,16517230,16524701,16569018,16576861,16586565,16587669,16606577,16611406,16618048,16754026	16485364,16487469,16493734,16506350,16513733,16517337,16524831,16569132,16576936,16586678,16587715,16606710,16611549,16618227,16754122
"""ENSDART00000001201"""	107	8527	8420	550935,552098,553111,554331,554612,555151,557597	551283,552200,553271,554464,554750,555292,557965
"""ENSDART00000001253"""	342	3479	3137	13236442,13237781,13237965,13239058	13236525,13237882,13238116,13239151
"""ENSDART00000001313"""	3	77000	76997	43941316,43942297,43944300,43948892,43957732,43960540,43965407,43970892,43974137,43974370,43974659,43974834,43976539,43990630,43991370,43994777,43997459,43997557,44003869,44015109	43941339,43942431,43944371,43948995,43957900,43960703,43965521,43971047,43974286,43974586,43974755,43974978,43976690,43991282,43991535,43994886,43997538,43997601,44004135,44015210
"""ENSDART00000001318"""	279	7482	7203	33418779,33419574,33419817,33420095,33422821,33423009,33423615,33424579	33418950,33419723,33420005,33420134,33422919,33423073,33423695,33424886
"""ENSDART00000001331"""	276	6703	6427	7173889,7174343,7174634,7176625,7176847,7177350,7177905,7179344,7179541	7173934,7174545,7174750,7176720,7176932,7177434,7177947,7179418,7179557
"""ENSDART00000001359"""	87	4743	4656	7115310,7117301,7117460,7117684,7118951,7119197	7115357,7117371,7117591,7117813,7119095,7119321
"""ENSDART00000001376"""	160	5324	5164	32624844,32627695,32628014,32628246,32629271	32625069,32627750,32628133,32628444,32629341
"""ENSDART00000001424"""	132	13550	13418	5394762,5395249,5399138,5399334,5400780,5401005,5401153,5401431,5407116	5394809,5395329,5399224,5399376,5400885,5401076,5401305,5401536,5407304
"""ENSDART00000001444"""	869	14753	13884	28799594,28799921,28803125,28803377,28803634,28806299,28806542,28807116,28807380,28807566,28809447,28809655,28811102,28811320	28799838,28800132,28803297,28803558,28803938,28806407,28806666,28807232,28807486,28807728,28809571,28809756,28811199,28811374
"""ENSDART00000001649"""	173	84375	84202	7048418,7082758,7088951,7092775,7093838,7095436,7095927,7098149,7098415,7102465,7102835,7107418,7108529,7111631,7115121,7117540,7120104,7121692,7123216,7124615,7129792	7048555,7082872,7089070,7092861,7093925,7095514,7096008,7098234,7098507,7102695,7102982,7107568,7108637,7111771,7115303,7117674,7120283,7121838,7123281,7124773,7129947
"""ENSDART00000001678"""	36	9973	9937	24671517,24671677,24671859,24672016,24672193,24672484,24672875,24673026,24673194,24673690,24673883,24674511,24675541,24675741,24676078,24676229,24676484,24676787,24676969,24677178,24677489,24677616,24678282,24678459,24678909	24671568,24671771,24671932,24672094,24672269,24672667,24672940,24673094,24673363,24673774,24674016,24674688,24675630,24675936,24676144,24676397,24676561,24676871,24677083,24677361,24677524,24677672,24678353,24678533,24678950
"""ENSDART00000001691"""	478	11244	10766	25414511,25415419,25416417,25418112,25418426,25420257,25420771,25424054	25414658,25415461,25416487,25418261,25418598,25420347,25421040,25424196
"""ENSDART00000001737"""	171	48822	48651	27157166,27157856,27159699,27159920,27178737,27178893,27179400,27179643,27182677,27186568,27187828,27204609	27157205,27157961,27159724,27160036,27178817,27178976,27179524,27179706,27182922,27186612,27187934,27204698
"""ENSDART00000001795"""	290	16377	16087	2762688,2762871,2767303,2770734,2772726,2774141,2776438	2762732,2762981,2768271,2770950,2772915,2774337,2776745
"""ENSDART00000001803"""	626	8536	7910	52227308,52227487,52227732,52227956,52231872,52232105,52234181	52227406,52227613,52227879,52228113,52232024,52232204,52234310
"""ENSDART00000001821"""	3	6634	6631	5259548,5262501,5264015	5259839,5263370,5264517
"""ENSDART00000001830"""	0	3445	3445	24579108,24580365,24580644,24580855,24581058,24581249,24581470,24581626	24579198,24580562,24580771,24580954,24581162,24581368,24581537,24581688
"""ENSDART00000001861"""	760	17999	17239	41119687,41119850,41122295,41125421,41125683,41126606,41128170,41128667,41130737,41131031,41131598,41131767,41134805,41135020	41119755,41120020,41122395,41125523,41125820,41126718,41128294,41128770,41130871,41131136,41131685,41131907,41134939,41135215
"""ENSDART00000001907"""	1401	5651	4250	33351657,33352501,33353350,33354165	33352042,33353271,33353493,33354387
"""ENSDART00000001930"""	166	4206	4040	7111945,7112218,7112611,7112813,7114268,7114518,7114733,7115086	7112062,7112369,7112669,7112928,7114408,7114615,7114826,7115150
"""ENSDART00000002027"""	9019	43193	34174	42616165,42632318,42637710,42638196,42639227,42641090,42642295,42644584,42644867,42649381	42616192,42632379,42637781,42638294,42639364,42641206,42642381,42644716,42644961,42649449
"""ENSDART00000002029"""	836	21756	20920	20926685,20929264,20934757,20935260,20940011,20940529,20944598,20946128	20926768,20929398,20934834,20935432,20940231,20940617,20944767,20946395
"""ENSDART00000002046"""	80	2549	2469	41181949,41182385,41182622,41182883,41183266	41182309,41182553,41182787,41183122,41183376
"""ENSDART00000002053"""	98	60725	60627	40966321,40968637,40978652,40982008,40993110,40993947,40997688,41015142,41019587,41019827,41021429,41024141	40966515,40968797,40978782,40982487,40993858,40994096,40997810,41015258,41019750,41019929,41021611,41024272
"""ENSDART00000002055"""	620	79790	79170	36689414,36691466,36691812,36695047,36698299,36698447,36698582,36702329,36702483,36703387,36703645,36703832,36708387,36708622,36709462,36711315,36711505,36712689,36712837,36714517,36714824,36718999,36719205,36721663,36727301,36727874,36729414,36737332,36740504,36740715,36742664,36742991,36743406,36748020,36754288,36756552,36764314,36765270	36689503,36691548,36691924,36695161,36698354,36698487,36698657,36702399,36702545,36703431,36703706,36703909,36708508,36708717,36709555,36711412,36711550,36712756,36712898,36714588,36714907,36719073,36719285,36721734,36727318,36728007,36729492,36737445,36740593,36740789,36742814,36743051,36743537,36748182,36754347,36756668,36764395,36765376
"""ENSDART00000002075"""	563	11099	10536	30178816,30179558,30183046,30183571,30186987,30187209,30188285	30178891,30179698,30183237,30183732,30187103,30187407,30188378
"""ENSDART00000002078"""	332	2508	2176	14920420	14921508
"""ENSDART00000002094"""	33	4264	4231	35728066,35730544,35730793,35730984,35731602	35728306,35730711,35730887,35731122,35731630
"""ENSDART00000002095"""	2604	13979	11375	33271261,33272550,33272854,33273019,33275976,33277513,33280655,33280941	33271391,33272769,33272937,33273173,33276318,33277700,33280775,33281171
"""ENSDART00000002096"""	0	45240	45240	24819790,24843146,24847890,24849154,24849398,24857432,24858507,24858776,24859607,24859851,24860953,24861196,24861403,24862482,24862669,24862804	24819917,24843337,24847926,24849227,24849548,24857525,24858679,24858874,24859771,24859950,24861107,24861318,24861585,24862638,24862770,24862958
"""ENSDART00000002118"""	2156	25918	23762	25046467,25046620,25046843,25047208,25047404,25048478,25049457,25049649,25050079,25050277,25052966,25055356,25055726,25057837,25057992,25058213,25058758,25059339,25059580,25060232,25060522,25062733,25062989,25063165,25064451,25064704,25065935,25066180,25066363,25066640	25046532,25046756,25046924,25047324,25047556,25048626,25049573,25049718,25050195,25050433,25053084,25055538,25055894,25057900,25058141,25058288,25058871,25059462,25059711,25060437,25060599,25062888,25063065,25063251,25064613,25064784,25066063,25066260,25066522,25066692
"""ENSDART00000002128"""	425	1683	1258	25773955	25774584
"""ENSDART00000002164"""	918	28145	27227	11204977,11207078,11207309,11209257,11209496,11209703,11210183,11212317,11212557,11214301,11216082,11218162,11221034,11221286,11224763,11226227,11226394,11227597,11227712,11229417	11205237,11207233,11207426,11209372,11209609,11209769,11210310,11212457,11212698,11214395,11216382,11218333,11221204,11221451,11224930,11226316,11226569,11227633,11227888,11229422
"""ENSDART00000002166"""	380	8564	8184	34908716,34909260,34911664,34911857,34913038,34913341,34915331,34915589	34908764,34909393,34911777,34912061,34913261,34913459,34915511,34915735
"""ENSDART00000002186"""	38	16544	16506	21114376,21123505,21123944,21126454,21126731,21128218,21129976	21114480,21123664,21124040,21126596,21126828,21128266,21130106
"""ENSDART00000002217"""	77	4633	4556	39877088,39880145	39877427,39880725
"""ENSDART00000002221"""	43	10319	10276	26121436,26122459,26123097,26123420,26125157,26126163,26127228,26127473,26127720,26128754,26129021,26129964	26121475,26122630,26123308,26123535,26125259,26126294,26127388,26127640,26127854,26128936,26129131,26130077
"""ENSDART00000002241"""	370	49005	48635	52406935,52410210,52410459,52410852,52418056,52425361,52454954	52407159,52410284,52410521,52410896,52418119,52425458,52454980
"""ENSDART00000002242"""	170	8709	8539	1398734,1400913,1401921,1404023,1404480,1406039	1399037,1401005,1402105,1404144,1404718,1406187
"""ENSDART00000002244"""	3318	3832	514	23901293	23901550
"""ENSDART00000002247"""	3	7289	7286	10722166,10722522,10724226,10724518,10727478	10722440,10722718,10724406,10725706,10727546
"""ENSDART00000002250"""	810	7108	6298	31082672,31087009	31083515,31087568
"""ENSDART00000002279"""	1325	29645	28320	43761474,43765134,43774957,43777304,43778013,43778597,43781377,43783125,43785018,43785881,43787154	43761967,43765385,43775074,43777425,43778149,43778850,43781564,43783292,43785137,43786175,43787405
"""ENSDART00000002309"""	1935	4315	2380	3407600	3408790
"""ENSDART00000002318"""	90	8447	8357	1522226,1523813,1525298,1526552,1527246,1529128	1522332,1523976,1525419,1526754,1527317,1529524
"""ENSDART00000002341"""	883	2189	1306	25755151	25755804
"""ENSDART00000002348"""	447	5975	5528	10113320,10114509,10117117,10117447,10117853	10113537,10114672,10117375,10117772,10117869
"""ENSDART00000002384"""	99	6656	6557	47440576,47443693,47445868	47440798,47443880,47446296
"""ENSDART00000002393"""	376	20920	20544	21018429,21018936,21020104,21020338,21022483,21022730,21022910,21023090,21024277,21024502,21037633	21018568,21019036,21020223,21020495,21022648,21022810,21022999,21023175,21024410,21024617,21037712
"""ENSDART00000002398"""	355	16555	16200	17455046,17455432,17455893,17457792,17457913,17458237,17458407,17460552,17469804	17455129,17455667,17456017,17457814,17458146,17458332,17458581,17460700,17469968
"""ENSDART00000002401"""	1559	13087	11528	14993348,14993942,14994163,14994305,14994745,14995009,14995275,14996578,15003601	14993554,14994081,14994210,14994371,14994829,14995157,14995429,14996799,15003706
"""ENSDART00000002428"""	1207	61435	60228	25384397,25384670,25387191,25388141,25389815,25390580,25392943,25408594,25419199,25425173,25443040	25384588,25384800,25387329,25388255,25389960,25390723,25393086,25408748,25419308,25425383,25443094
"""ENSDART00000002449"""	4821	112016	107195	16353656,16388256,16403528,16453393,16456763,16459860	16353783,16388437,16403753,16453508,16456876,16459975
"""ENSDART00000002453"""	1231	55320	54089	23519630,23521942,23523180,23523385,23527449,23527616,23529846,23530081,23530293,23566889,23567139,23567358,23569777,23571490	23519784,23522099,23523294,23523579,23527523,23527785,23529985,23530152,23530416,23567039,23567277,23567467,23569954,23571720
"""ENSDART00000002459"""	158	12966	12808	6281805,6282810,6282977,6284115,6286727,6286945,6289506,6290022,6292876,6293305	6281871,6282888,6283064,6284218,6286864,6287044,6289625,6290192,6292993,6293471
"""ENSDART00000002463"""	184	16659	16475	14789489,14792902,14793096,14805078	14789668,14792999,14793276,14805293
"""ENSDART00000002464"""	306	14514	14208	26810514,26813774,26817849,26821717,26822530,26823505	26810731,26813993,26818031,26821979,26822719,26823579
"""ENSDART00000002465"""	206	25143	24937	24906312,24906585,24909983,24910409,24913420,24916646,24917906,24918149,24918735,24919779,24920700,24920916,24921688,24922630,24927940,24928250	24906491,24906754,24910230,24910613,24913665,24916743,24918056,24918272,24918844,24919978,24920833,24921065,24921834,24922917,24928088,24928457
"""ENSDART00000002469"""	183	22675	22492	23687861,23689971,23690149,23690526,23693469,23693647,23693873,23696379,23696535,23696792,23697878,23700027,23702279,23702463,23702698,23703369,23704434,23704634,23707658	23687967,23690028,23690289,23690648,23693568,23693780,23694117,23696455,23696686,23696898,23698011,23700211,23702368,23702618,23702823,23703476,23704553,23704795,23707852
"""ENSDART00000002481"""	258	17433	17175	39284107,39289961,39290310,39294449,39295722,39297672,39299107	39284113,39289996,39290354,39294568,39295802,39298715,39299531
"""ENSDART00000002493"""	1160	10915	9755	17063251,17063637,17066709,17067209,17069730,17069911,17070721,17071289,17071813	17063549,17063754,17066857,17067291,17069811,17070060,17070849,17071409,17071848
"""ENSDART00000002498"""	845	129308	128463	15906536,15959790,15970280,15983627,15995768,16007968,16015723,16019501,16031399,16033650	15906643,15959896,15970388,15983815,15995852,16008101,16015854,16019622,16031434,16033818
"""ENSDART00000002501"""	725	10098	9373	42409807,42410509,42412571,42415366,42417586	42410421,42410684,42412743,42415579,42417796
"""ENSDART00000002507"""	373	34477	34104	20187079,20205788,20216523,20217491,20220367	20187292,20205846,20216687,20217586,20220510
"""ENSDART00000002510"""	246	20580	20334	36701568,36703730,36703984,36704153,36704332,36708108,36708407,36712209,36714224,36714760,36718238,36718382,36720410	36701754,36703804,36704033,36704206,36704482,36708190,36708490,36712542,36714297,36714885,36718291,36718471,36720481
"""ENSDART00000002545"""	663	15030	14367	3367944,3369783,3370293,3371759,3372276,3372449,3373380,3373641,3373894,3377032,3377221,3379768,3379986,3380900	3368027,3369910,3370380,3371841,3372368,3372477,3373455,3373779,3374002,3377141,3377385,3379906,3380148,3380909
"""ENSDART00000002554"""	55	45702	45647	33875311,33905133,33909717,33910636,33911366,33912022,33915425,33915652,33915998,33919468	33875341,33905365,33909861,33910815,33911526,33912151,33915557,33915743,33916103,33919612
"""ENSDART00000002556"""	282	8480	8198	41846341,41846642,41849937,41850315,41850487,41850648,41853432,41853794	41846496,41846718,41850088,41850382,41850568,41850751,41853490,41853821
"""ENSDART00000002562"""	0	4394	4394	53356451,53359146,53359498,53360144	53356491,53359308,53359607,53360339
"""ENSDART00000002568"""	37	18502	18465	36136567,36139927,36141329,36141508,36143795,36144968,36145204,36146464,36148345,36148588,36149987,36150223,36152602,36152771	36136974,36140038,36141428,36141650,36143979,36145079,36145307,36146635,36148493,36148742,36150135,36150424,36152678,36152874
"""ENSDART00000002571"""	14275	57738	43463	52804324,52807005,52810881,52811087,52815115,52815480,52818015,52819078,52827011,52827878,52829663,52830445,52839362,52840240,52845293	52804396,52807568,52811003,52811209,52815237,52815602,52818137,52819200,52827133,52828000,52829785,52830858,52839514,52840344,52845339
"""ENSDART00000002583"""	273	15117	14844	6049628,6050712,6050914,6052971,6053151,6055959,6058188,6059192,6060455,6061260,6062619,6063210	6049763,6050806,6050968,6053062,6053217,6056089,6058304,6059348,6060512,6061419,6062747,6063248
"""ENSDART00000002595"""	731	4307	3576	21622385,21622540,21622739,21625056,21625400	21622451,21622601,21622851,21625206,21625486
"""ENSDART00000002622"""	657	19276	18619	2925432,2925609,2927457,2927798,2930479,2936112,2937913,2942531	2925527,2925650,2927628,2927971,2930603,2936279,2938552,2942586
"""ENSDART00000002624"""	1733	8426	6693	19008434,19008804,19010429,19010644,19013154,19014486	19008564,19008866,19010557,19010801,19013290,19014500
"""ENSDART00000002633"""	253	6258	6005	44832285,44833417,44833607,44833852,44834045,44834322,44837305	44832750,44833455,44833663,44833917,44834249,44834385,44837352
"""ENSDART00000002641"""	305	126586	126281	27428810,27430392,27477274,27491089,27519427,27528637,27530715,27531586,27533352,27537669,27538386,27539387,27542839,27545955,27549210	27428869,27430643,27477717,27491252,27519616,27528828,27530808,27531848,27533535,27537828,27538548,27542417,27543029,27546105,27549388
"""ENSDART00000002661"""	311	46355	46044	219197,221881,222195,225284,225450,225790,226651,228881,229622,229856,230886,231226,231475,233078,233530,233770,234454,236505,237265,238250,238542,239550,240680,240927,243554,245357,245573,245806,247535,247842,248706,251102,251341,252002,254029,254500,255327,255832,258672,259526	219292,221982,222322,225364,225664,225890,226831,228964,229773,229966,230997,231390,231668,233194,233678,233911,234547,236621,237450,238389,238706,239695,240842,241060,243725,245488,245715,245935,247672,247975,248864,251252,251525,252191,254184,254659,255457,255925,258791,259668
"""ENSDART00000002682"""	1266	22307	21041	11574834,11575361,11576144,11576410,11576753,11576919,11577189,11577743,11586140,11593823,11594100	11575267,11575547,11576314,11576667,11576829,11577015,11577251,11578018,11586202,11593889,11594146
"""ENSDART00000002684"""	164	43991	43827	31566681,31566908,31578619,31584278,31584503,31587376,31587588,31592125,31595573,31598272,31598667,31601208,31601665,31602289,31603264,31605638,31606160,31607751	31566791,31566985,31578768,31584367,31584686,31587504,31587751,31592277,31595705,31598366,31598777,31601423,31601791,31602431,31603492,31606006,31606253,31607850
"""ENSDART00000002691"""	6210	53213	47003	11446915,11450891,11451053,11453885,11454141,11454306,11493098	11446980,11450974,11451208,11453980,11454215,11454494,11493178
"""ENSDART00000002714"""	322	26967	26645	17523189,17524850,17530805,17534949,17535138,17539343,17542073,17542744,17543078,17544552,17545392,17548135,17548277	17523319,17525047,17530944,17535048,17535268,17539439,17542169,17542831,17543112,17544667,17545447,17548164,17548452
"""ENSDART00000002728"""	3022	26321	23299	40925694,40927548,40929273,40929496,40929854,40930135,40938893,40940141,40940397,40940752,40942362,40942608,40942821,40943285,40946580	40925774,40927621,40929400,40929770,40930052,40930292,40938976,40940267,40940467,40940885,40942437,40942737,40943159,40943461,40946767
"""ENSDART00000002741"""	207	3439	3232	25403620	25405236
"""ENSDART00000002750"""	94	13111	13017	35880667,35882924,35883159,35883345,35883602,35884552,35884701,35886022,35886262,35887137,35887291,35887548,35888344,35890203,35890709	35880735,35883044,35883265,35883505,35883645,35884619,35884850,35886103,35886395,35887198,35887468,35887614,35889633,35890330,35890873
"""ENSDART00000002764"""	135	13453	13318	2456989,2457549,2457691,2458157,2461507,2461657,2461786,2462639,2463285,2463447,2465835,2466011,2467146,2469213	2457049,2457606,2457757,2458231,2461565,2461706,2461837,2462693,2463357,2463517,2465921,2466087,2467285,2469304
"""ENSDART00000002767"""	14126	17322	3196	26620867,26622653,26622896,26623113	26621254,26622769,26623009,26623280
"""ENSDART00000002770"""	240	11437	11197	14957600,14962424,14963910,14965116,14966090,14966275,14967538,14967864	14957698,14962478,14964037,14965190,14966185,14966403,14967699,14967962
"""ENSDART00000002773"""	33499	42954	9455	35288902,35290907,35292724,35292912,35293166,35293335,35295173,35296943,35297177,35297338	35288971,35291028,35292829,35293048,35293243,35293451,35295252,35297069,35297247,35297398
"""ENSDART00000002778"""	1803	16835	15032	6491892,6493917,6498711,6498853,6503741,6506185	6491947,6493955,6498770,6499003,6503954,6506297
"""ENSDART00000002787"""	53	12434	12381	52529146,52529313,52531124,52532963,52534602,52538900,52540479	52529187,52529391,52531188,52533142,52534814,52538992,52540670
"""ENSDART00000002812"""	3	55292	55289	28954140,28959488,28961801,28962199,28967397,28969661,28969998,28970172,28970485,28973625,28978860,28979286,28981366,28982923,28988454,28992288,28993270,28993457,28993798,29003399,29003754,29004743	28954207,28960201,28961921,28962347,28967568,28969859,28970156,28970315,28970671,28973731,28979270,28979726,28981538,28983087,28988544,28992353,28993405,28993773,28994146,29003714,29003955,29004753
"""ENSDART00000002824"""	791	22131	21340	23923055,23925347,23927890,23928248,23931170,23931385,23931575,23931722,23931891,23933430,23933646,23936053,23942513	23923308,23925512,23928080,23928333,23931294,23931490,23931642,23931811,23932059,23933553,23933797,23936141,23942650
"""ENSDART00000002826"""	2500	11945	9445	39087329,39087547,39087718,39087837,39088838,39090554,39091330,39093931,39095575	39087457,39087627,39087766,39087979,39088996,39090632,39091457,39094113,39095703
"""ENSDART00000002835"""	706	6739	6033	27207442,27209227,27209408,27209555,27209741,27209888,27210770,27210933,27211877,27212041,27212677	27207519,27209313,27209462,27209622,27209809,27210006,27210818,27211037,27211939,27212073,27212718
"""ENSDART00000002846"""	3	8926	8923	26568851,26569093,26569290,26569418,26572535,26576434	26569015,26569212,26569335,26569597,26572722,26576757
"""ENSDART00000002851"""	0	28986	28986	22492355,22493165,22494488,22495306,22495486,22496353,22496565,22500457,22500736,22502624,22505989,22506865,22507059,22519419	22492475,22493289,22494754,22495392,22495577,22496459,22496652,22500619,22500922,22502765,22506146,22506982,22507144,22519516
