transcript_id	cds_start	cds_end	transcript_length
ENST00000064724.8	13457	13686	13686
ENST00000064778.8	3860	4002	60940
ENST00000064780.7	0	44	6351
ENST00000066544.8	37268	37365	68234
ENST00000070846.11	104082	104304	104304
ENST00000072516.7	81409	81552	84412
ENST00000072644.7	11305	11421	28870
ENST00000072869.9	16266	16394	21469
ENST00000075120.12	14604	14618	14618
ENST00000075322.11	26438	26525	81256
ENST00000075430.11	33024	33190	73720
ENST00000075503.8	4504	4712	14471
ENST00000078429.9	0	135	26524
ENST00000078445.7	10755	10892	18218
ENST00000078527.9	6747	7025	7025
ENST00000080059.12	5969	6076	35941
ENST00000081029.8	5447	5614	44603
ENST00000083182.8	8712	8797	78347
ENST00000084795.9	0	72	2509
ENST00000084798.9	7444	7510	7510
ENST00000085068.7	3038	3175	3175
ENST00000085079.11	14326	14409	16725
ENST00000085219.10	8840	9097	14653
ENST00000086933.3	0	101	1289
ENST00000155093.8	24873	26053	26053
ENST00000155674.9	11518	11721	27220
ENST00000155840.12	143614	143755	402901
ENST00000155926.9	22018	22483	22483
ENST00000156084.8	2670	2873	34393
ENST00000156109.7	9923	10098	10098
ENST00000156471.10	91469	91589	112818
ENST00000156476.6	0	57	5031
ENST00000156499.7	0	149	4604
ENST00000156626.12	18175	18305	18305
ENST00000156825.5	2749	2926	14288
ENST00000157600.8	63493	63708	65656
ENST00000157812.7	0	35	10099
ENST00000158009.6	0	208	8737
ENST00000158166.5	3894	3981	19780
ENST00000158526.9	4241	4289	4457
ENST00000158762.8	577	634	14657
ENST00000158771.9	11382	11474	11474
ENST00000159060.3	58914	58961	58961
ENST00000159087.7	7775	7891	11150
ENST00000159111.9	14585	14778	118617
ENST00000159647.9	0	225	8526
ENST00000160262.10	0	199	5754
ENST00000160298.9	19180	19319	22051
ENST00000160373.8	23729	23881	161875
ENST00000160382.10	3974	4035	13105
ENST00000160713.8	59917	59996	117059
ENST00000160740.7	5143	5246	10483
ENST00000160827.9	8868	9021	14547
ENST00000161006.8	0	233	5008
ENST00000161559.11	0	116	19262
ENST00000161863.9	77145	77348	79484
ENST00000162044.14	14851	14954	18495
ENST00000162330.10	0	509	21968
ENST00000162391.8	0	332	13014
ENST00000162749.7	952	980	12499
ENST00000163416.7	14113	14316	42005
ENST00000163678.11	0	132	9602
ENST00000164024.5	7534	7660	24426
ENST00000164133.7	5701	5754	8106
ENST00000164139.4	11941	12042	13236
ENST00000164227.10	10637	10821	10821
ENST00000164247.5	44635	44679	58002
ENST00000164305.10	20016	20067	36178
ENST00000164640.8	0	1544	26942
ENST00000165524.1	438	598	598
ENST00000165698.9	120376	120407	120407
ENST00000166139.9	5226	5281	5281
ENST00000166244.8	0	93	38102
ENST00000166345.8	7495	7550	24101
ENST00000166534.8	2399	2467	25613
ENST00000167106.9	7141	7229	16193
ENST00000167218.9	0	4	5615
ENST00000167462.9	25049	25266	31476
ENST00000167586.7	797	1017	4396
ENST00000167588.4	1016	1053	8821
ENST00000167825.5	12555	12682	65144
ENST00000168148.8	16437	16487	19223
ENST00000168216.11	840	1004	2938
ENST00000168712.3	0	173	1772
ENST00000168869.12	0	51	1448
ENST00000168977.7	0	25	8598
ENST00000169293.10	4298	4416	44296
ENST00000169298.8	0	606	33096
ENST00000169551.11	9205	9278	9668
ENST00000170150.4	14767	14805	14805
ENST00000170168.9	0	85	32289
ENST00000170447.12	11724	11852	25099
ENST00000170564.7	6940	7074	48963
ENST00000170630.6	14519	14618	22538
ENST00000171111.10	12740	13378	13378
ENST00000171757.3	0	1016	1016
ENST00000171887.8	81282	81357	93503
ENST00000172229.8	0	65	17588
ENST00000173229.7	0	1017	217591
ENST00000173527.6	12179	12295	18231
ENST00000173898.12	331	1521	8770
ENST00000174618.5	0	745	13808
ENST00000175091.5	1109	1207	18312
ENST00000175238.10	51934	52120	66424
ENST00000175506.8	1043	1124	16894
ENST00000175756.10	0	92	17113
ENST00000176183.6	0	284	3295
ENST00000176195.4	0	96	709
ENST00000176643.11	15976	16075	26597
ENST00000176763.10	60771	60852	143157
ENST00000177648.13	47887	47973	63429
ENST00000177694.2	9155	9309	11908
ENST00000177742.7	575	895	895
ENST00000178638.8	12531	12657	55432
ENST00000178640.10	204895	204921	263411
ENST00000179259.6	0	31	31416
ENST00000180166.6	8672	8957	8957
ENST00000180173.10	2289	2415	113427
ENST00000181383.10	30602	30726	51392
ENST00000181796.7	253060	253470	253470
ENST00000181839.10	51219	51389	144335
ENST00000182290.9	15713	15771	15771
ENST00000182377.8	40578	40696	63341
ENST00000182527.4	1391	1554	73715
ENST00000183605.10	20744	20912	20912
ENST00000184183.8	884	1059	11323
ENST00000184266.3	5848	5907	5907
ENST00000184956.11	15856	15955	35348
ENST00000185150.9	25738	25862	30755
ENST00000185206.12	0	164	177151
ENST00000186436.10	3691	3812	238560
ENST00000187397.8	55426	55610	112203
ENST00000187608.13	0	63	9593
ENST00000187762.7	26926	27150	27150
ENST00000187830.2	0	78	3255
ENST00000187879.12	5745	6955	6955
ENST00000187910.7	15314	15377	15377
ENST00000188312.7	4088	4205	23060
ENST00000188376.9	7389	7546	7546
ENST00000188403.7	59863	60098	60098
ENST00000188790.9	52626	52678	72345
ENST00000189444.11	5785	5957	6413
ENST00000189978.10	93297	93303	132080
ENST00000190165.3	13039	14000	14000
ENST00000190611.9	30116	30248	89371
ENST00000190983.5	9347	9601	11913
ENST00000191018.9	0	193	6878
ENST00000191063.8	10816	11129	11129
ENST00000192314.7	22109	22198	27207
ENST00000192788.6	75215	75365	80184
ENST00000193322.8	9702	9799	29863
ENST00000193391.8	0	9	93400
ENST00000193403.10	17191	17421	104194
ENST00000194097.8	28617	28716	42808
ENST00000194118.8	10552	10644	14814
ENST00000194130.7	1950	2087	84425
ENST00000194152.4	0	2384	2384
ENST00000194155.7	0	2393	2393
ENST00000194214.10	0	113	18428
ENST00000194530.8	19806	19914	25331
ENST00000194672.11	0	76	52590
ENST00000194900.8	0	356	57064
ENST00000195173.8	0	155	38513
ENST00000195649.10	45429	45443	151771
ENST00000196061.5	20050	20113	40025
ENST00000196169.7	0	73	107171
ENST00000196371.10	69290	69338	138626
ENST00000196482.4	1545	2965	2965
ENST00000196489.4	6550	6582	6582
ENST00000196551.8	4838	5047	6609
ENST00000197268.13	22751	22892	36223
ENST00000198536.7	0	63	26247
ENST00000198767.11	6422	6530	32486
ENST00000198801.10	0	90	13394
ENST00000198939.6	13436	13587	23216
ENST00000199280.4	0	359	4774
ENST00000199320.9	9498	9547	14759
ENST00000199389.11	12748	12848	34407
ENST00000199447.9	44199	44343	46822
ENST00000199448.9	29260	29453	29453
ENST00000199706.13	1390	1542	2540
ENST00000199708.3	0	94	618
ENST00000199764.7	0	63	10617
ENST00000199814.9	0	127	9231
ENST00000199936.9	32745	32957	63008
ENST00000199940.10	56743	57083	77223
ENST00000200135.8	39865	39969	39969
ENST00000200181.8	11347	11450	32848
ENST00000200453.6	2380	2736	2736
ENST00000200457.9	363	490	5802
ENST00000200557.11	10518	10594	20551
ENST00000200639.9	37780	37843	37843
ENST00000200652.4	0	392	49215
ENST00000200676.8	0	117	21683
ENST00000200691.5	0	30	1355
ENST00000201015.8	0	423	6147
ENST00000201031.3	4605	4723	8465
ENST00000201586.7	23688	23830	47150
ENST00000201647.11	9396	9528	11166
ENST00000201943.10	21589	21698	259889
ENST00000201961.6	0	1	99065
ENST00000201963.3	27646	27784	27784
ENST00000201979.3	0	339	7981
ENST00000202017.6	0	79	6151
ENST00000202028.9	46718	46834	53777
ENST00000202556.14	62214	62361	112150
ENST00000202625.7	16949	17077	51671
ENST00000202677.12	175115	175213	315747
ENST00000202773.14	0	149	3429
ENST00000202816.5	51900	52047	68263
ENST00000202831.7	21276	21328	33098
ENST00000202834.11	0	137	8636
ENST00000202917.10	4011	4195	12510
ENST00000202967.4	0	496	9471
ENST00000203001.7	0	188	11867
ENST00000203166.10	1240	1264	10195
ENST00000203407.6	4433	4512	10489
ENST00000203556.9	10330	10394	13563
ENST00000203629.3	2420	2695	5534
ENST00000203630.10	1379	1507	3536
ENST00000203664.10	17433	17517	19381
ENST00000204005.13	11869	12060	36381
ENST00000204517.11	4478	4643	14688
ENST00000204549.9	10312	10450	15061
ENST00000204566.7	0	113	19946
ENST00000204604.6	4218	4374	9100
ENST00000204637.6	0	95	4125
ENST00000204679.9	9777	9831	11122
ENST00000204726.9	18108	18185	49020
ENST00000204801.12	4424	4469	4469
ENST00000204961.5	10465	10874	10874
ENST00000205061.9	20290	20352	155035
ENST00000205135.8	8540	10098	10098
ENST00000205143.4	217	498	9035
ENST00000205194.5	699	1244	1244
ENST00000205214.11	15634	15806	45894
ENST00000205386.8	74361	74540	99122
ENST00000205402.10	12227	12296	28005
ENST00000205557.12	25775	25850	73298
ENST00000205636.4	18645	18782	18782
ENST00000205948.11	8418	8606	17243
ENST00000206020.8	1249	1316	8267
ENST00000206249.8	136260	136595	291050
ENST00000206262.2	32323	32441	32441
ENST00000206380.8	1078	1224	3021
ENST00000206423.8	0	343	34485
ENST00000206446.4	950	961	961
ENST00000206451.11	1257	1302	2550
ENST00000206474.11	1340	1485	8626
ENST00000206513.6	0	332	1601
ENST00000206542.9	0	36	7440
ENST00000206595.11	0	36	35451
ENST00000206765.11	12718	13036	13036
ENST00000207157.7	14293	14390	46984
ENST00000207457.8	0	155	3261
ENST00000207549.9	6107	6175	16369
ENST00000207636.9	1583	1696	1696
ENST00000207870.8	29248	29363	66141
ENST00000209540.2	0	1064	1064
ENST00000209665.8	15341	15479	22118
ENST00000209668.3	3517	3652	14287
ENST00000209718.8	6948	7104	13611
ENST00000209728.9	12491	12577	12577
ENST00000209873.9	2109	2229	13973
ENST00000209875.9	4357	4457	15892
ENST00000209884.5	66080	66186	69200
ENST00000209929.10	23080	23428	23428
ENST00000210060.12	5719	5925	5925
ENST00000210187.11	0	194	4634
ENST00000210227.4	70279	70338	70338
ENST00000210313.8	0	254	25000
ENST00000210444.6	24007	24273	26243
ENST00000210633.4	634	696	11215
ENST00000211076.5	235	406	2092
ENST00000211122.4	0	119	9025
ENST00000211287.9	6073	6187	8787
ENST00000211314.5	4710	4811	8943
ENST00000211379.9	1251	1394	12629
ENST00000211413.10	0	173	2602
ENST00000211921.11	1218	1282	1282
ENST00000211936.10	5977	6103	20988
ENST00000211998.10	72462	72612	119958
ENST00000212015.11	27752	28309	31868
ENST00000212355.9	74871	75008	177789
ENST00000214869.7	0	215	3193
ENST00000215057.7	8919	9314	9314
ENST00000215061.9	746	951	2674
ENST00000215071.9	1750	1852	8785
ENST00000215095.11	0	77	17572
ENST00000215115.5	5985	6076	6076
ENST00000215368.4	0	139	13773
ENST00000215375.7	2464	2583	2583
ENST00000215473.7	41391	43913	43913
ENST00000215530.7	0	213	3675
ENST00000215531.6	3972	4083	5617
ENST00000215539.4	3034	3049	3049
ENST00000215555.7	16547	16702	16702
ENST00000215565.3	0	129	5864
ENST00000215567.10	0	14	36171
ENST00000215570.8	0	95	582
ENST00000215574.9	3905	3991	9617
ENST00000215582.8	6554	6640	6640
ENST00000215587.11	5730	5786	5786
ENST00000215631.9	670	892	1239
ENST00000215637.8	5169	5429	8462
ENST00000215659.13	2211	2290	8105
ENST00000215727.10	6691	6835	7750
ENST00000215730.12	0	236	28722
ENST00000215742.9	1949	2028	2028
ENST00000215743.8	7488	7631	10670
ENST00000215754.8	0	107	628
ENST00000215770.6	4371	4488	4488
ENST00000215781.3	2880	2913	2913
ENST00000215790.12	2418	2483	34503
ENST00000215793.13	2429	2583	22195
ENST00000215794.8	0	156	19150
ENST00000215798.10	675	794	7518
ENST00000215812.9	6310	6370	11934
ENST00000215829.8	0	125	14299
ENST00000215832.11	19050	19181	98233
ENST00000215838.8	3539	3731	19186
ENST00000215855.7	3823	3965	5812
ENST00000215862.8	22946	23036	23610
ENST00000215882.10	288	361	2540
ENST00000215885.4	1182	1314	4628
ENST00000215886.6	310	469	9639
ENST00000215904.7	6772	7085	7085
ENST00000215906.6	8843	8956	9587
ENST00000215909.10	0	8	4043
ENST00000215912.10	9188	9257	9257
ENST00000215917.11	7572	7778	7778
ENST00000215919.3	0	275	4194
ENST00000215941.9	1213	1260	12292
ENST00000215956.10	7420	7422	7422
ENST00000215957.10	20988	21403	34404
ENST00000215980.10	6854	6946	8017
ENST00000216014.9	0	90	14299
ENST00000216024.7	47560	47604	48233
ENST00000216027.8	14982	15070	15070
ENST00000216029.8	5104	5178	5178
ENST00000216034.6	344	462	1859
ENST00000216036.9	74561	74679	80955
ENST00000216037.10	4749	4975	4975
ENST00000216038.6	11608	11764	24161
ENST00000216039.9	11898	12082	12082
ENST00000216044.10	0	191	24745
ENST00000216061.9	24958	25070	50335
ENST00000216068.9	1474	1557	3279
ENST00000216071.5	0	437	3047
ENST00000216075.11	764	844	2955
ENST00000216080.5	2641	2819	3660
ENST00000216083.6	5690	5733	5978
ENST00000216085.12	5416	5563	5563
ENST00000216099.13	0	16	10793
ENST00000216101.7	559	683	1942
ENST00000216106.6	0	30	31257
ENST00000216115.3	5190	5279	5279
ENST00000216117.9	5511	6002	12421
ENST00000216121.12	5568	5708	25144
ENST00000216122.9	2975	3103	23813
ENST00000216124.10	1443	1612	2631
ENST00000216127.5	4693	5219	5219
ENST00000216129.7	18882	19058	19058
ENST00000216133.10	18482	18550	18550
ENST00000216139.10	0	76	6968
ENST00000216144.4	8205	8317	9141
ENST00000216146.9	0	41	6654
ENST00000216155.11	0	98	25941
ENST00000216160.11	28218	28380	30416
ENST00000216177.9	10890	11082	11082
ENST00000216180.8	13139	13360	22467
ENST00000216181.11	10658	10810	66565
ENST00000216185.7	0	110	13030
ENST00000216187.10	15885	16411	16411
ENST00000216190.13	5488	5617	15131
ENST00000216194.11	14714	14783	19960
ENST00000216200.9	14210	14342	16112
ENST00000216211.9	0	51	10702
ENST00000216214.7	18006	18022	18022
ENST00000216218.8	6028	6130	29999
ENST00000216223.10	8129	8294	16073
ENST00000216225.9	0	77	21086
ENST00000216237.10	4333	4570	24885
ENST00000216241.14	11167	11174	11174
ENST00000216252.4	8201	8252	8252
ENST00000216254.9	54683	54794	59463
ENST00000216259.8	0	119	12484
ENST00000216264.13	4435	4640	51011
ENST00000216267.12	48715	50081	50081
ENST00000216268.6	0	3512	3512
ENST00000216271.10	1169	1225	5522
ENST00000216274.10	2837	3146	3648
ENST00000216277.13	17462	17635	62454
ENST00000216281.13	4502	4663	4663
ENST00000216286.10	36616	36861	63505
ENST00000216288.11	80313	80412	117194
ENST00000216294.5	6175	6279	32519
ENST00000216297.7	7739	7857	31251
ENST00000216327.10	5618	5777	5777
ENST00000216330.7	5284	5419	18255
ENST00000216336.3	1035	1170	2583
ENST00000216338.9	2953	3007	3007
ENST00000216341.9	3032	3086	3086
ENST00000216350.12	8260	8318	8318
ENST00000216361.9	0	33	14849
ENST00000216366.9	0	137	17435
ENST00000216367.10	10500	10559	44548
ENST00000216373.10	112850	112936	112936
ENST00000216378.2	26365	26486	63208
ENST00000216392.8	11567	11710	39008
ENST00000216410.8	2365	2426	6336
ENST00000216416.9	13430	13510	13510
ENST00000216420.12	12494	12633	28420
ENST00000216442.12	0	138	21074
ENST00000216445.8	22135	22357	22357
ENST00000216446.9	4994	5095	24727
ENST00000216450.7	0	87	18375
ENST00000216452.9	0	89	10120
ENST00000216455.9	22553	22599	26971
ENST00000216456.6	0	16	11315
ENST00000216465.10	9900	10023	10023
ENST00000216468.8	35162	35279	35279
ENST00000216471.5	13589	13822	13822
ENST00000216479.8	7349	7477	11056
ENST00000216481.10	0	86	551
ENST00000216484.7	84899	85093	104292
ENST00000216487.12	101474	101546	174316
ENST00000216489.8	30554	30662	34189
ENST00000216492.10	3245	3338	11521
ENST00000216500.9	7970	8209	20340
ENST00000216513.5	6350	7035	10664
ENST00000216517.10	0	95	86359
ENST00000216540.5	0	103	20870
ENST00000216554.8	816	988	5188
ENST00000216568.11	0	373	14904
ENST00000216602.10	10950	11000	17173
ENST00000216629.11	0	1058	1058
ENST00000216639.8	19359	19467	47733
ENST00000216658.9	4865	4980	24203
ENST00000216714.8	1345	1859	1859
ENST00000216727.9	1907	2013	3813
ENST00000216733.8	1647	1736	7796
ENST00000216756.11	14285	14291	14291
ENST00000216774.11	17092	17192	32439
ENST00000216780.9	9104	9555	9555
ENST00000216797.10	1134	1344	2628
ENST00000216799.9	1876	1952	2291
ENST00000216802.10	2298	2360	3169
ENST00000216807.12	6461	6588	43957
ENST00000216832.9	2132	2204	6580
ENST00000216840.11	2252	2340	5497
ENST00000216862.8	206	403	16397
ENST00000216877.10	72876	73011	73852
ENST00000216879.9	14448	14522	23072
ENST00000216923.5	39442	39487	39487
ENST00000216927.4	27415	27487	27487
ENST00000216962.9	0	242	48340
ENST00000216968.5	4543	4655	4655
ENST00000217026.5	42679	42778	48800
ENST00000217043.4	4038	4156	13631
ENST00000217073.7	22198	22288	28595
ENST00000217074.9	0	171	9087
ENST00000217075.7	6022	6096	6096
ENST00000217086.9	0	416	18140
ENST00000217109.9	0	168	8171
ENST00000217121.9	17353	17454	24576
ENST00000217131.6	0	107	11476
ENST00000217133.2	3322	3430	5257
ENST00000217159.6	2222	2312	15435
ENST00000217162.5	13459	13621	15621
ENST00000217169.8	3065	3136	3505
ENST00000217173.7	13203	13256	13256
ENST00000217182.6	0	124	9462
ENST00000217185.3	0	7	3617
ENST00000217188.2	6287	6642	6642
ENST00000217195.12	0	97	6039
ENST00000217233.9	8187	8676	8676
ENST00000217244.9	11755	11838	24587
ENST00000217246.8	1866981	1867062	2054109
ENST00000217254.11	4179	4745	4745
ENST00000217260.9	0	106	41804
ENST00000217270.4	11869	12326	12326
ENST00000217289.9	20348	20455	42378
ENST00000217305.3	2630	2758	2758
ENST00000217315.9	3025	3124	32392
ENST00000217320.8	2866	3018	13208
ENST00000217381.3	4065	4272	35110
ENST00000217386.2	707	759	759
ENST00000217398.3	12162	12274	12274
ENST00000217402.3	39483	39597	42088
ENST00000217407.3	14187	14250	30149
ENST00000217420.2	2727	3911	3911
ENST00000217423.4	0	80	3072
ENST00000217425.9	0	78	9942
ENST00000217426.7	4403	4597	22233
ENST00000217428.7	2879	2954	2954
ENST00000217446.8	55173	55270	116216
ENST00000217455.9	0	115	15474
ENST00000217456.3	7644	7760	28872
ENST00000217515.11	0	26	35410
ENST00000217652.8	2498	2667	2667
ENST00000217740.4	18252	18405	49517
ENST00000217800.9	0	123	23102
ENST00000217885.5	7278	7370	30184
ENST00000217893.10	0	791	791
ENST00000217901.10	8371	8451	8451
ENST00000217909.8	53461	53658	53658
ENST00000217926.7	455	861	861
ENST00000217939.7	10289	15256	34114
ENST00000217957.10	27546	27701	32247
ENST00000217958.8	2709	2875	6543
ENST00000217961.5	0	136	97058
ENST00000217971.8	0	327	6887
ENST00000217999.3	6270	6667	6667
ENST00000218004.5	2162	2248	6802
ENST00000218006.3	0	84	100034
ENST00000218008.8	16509	16604	17462
ENST00000218032.7	12337	15456	15456
ENST00000218056.9	1590	1720	7032
ENST00000218068.7	3417	3430	3430
ENST00000218075.9	51125	51348	200424
ENST00000218089.13	39143	39246	77966
ENST00000218099.7	6597	6621	31303
ENST00000218104.6	14825	14970	18465
ENST00000218147.11	19758	20147	50901
ENST00000218176.4	3994	4092	7687
ENST00000218197.9	10367	10452	32668
ENST00000218200.12	17948	18064	36661
ENST00000218224.9	2680	2791	4571
ENST00000218230.6	4156	4269	4269
ENST00000218249.7	0	833	833
ENST00000218316.4	3049	4712	4712
ENST00000218340.4	0	101	42665
ENST00000218348.7	12455	12567	15012
ENST00000218364.5	1913	2093	14325
ENST00000218388.9	2127	2251	3272
ENST00000218432.10	14999	15139	15139
ENST00000218436.7	4032	4067	48312
ENST00000218439.8	0	44	6347
ENST00000218516.4	973	1134	10091
ENST00000218548.10	17914	18106	30775
ENST00000218652.12	67124	67190	69913
ENST00000218721.1	1702	2036	2036
ENST00000218758.10	1703	1830	2304
ENST00000218789.9	68465	68558	85428
ENST00000218867.4	0	194	120843
ENST00000218981.5	30407	30532	30532
ENST00000219022.3	0	203	21931
ENST00000219054.10	0	176	26560
ENST00000219066.5	206	311	7920
ENST00000219069.6	4635	4751	6736
ENST00000219070.9	25859	25959	25959
ENST00000219091.9	2398	2489	6891
ENST00000219097.7	2676	2839	7876
ENST00000219139.8	36869	36952	36952
ENST00000219150.10	1829	2013	3751
ENST00000219162.4	0	30	3800
ENST00000219168.8	8444	8557	8557
ENST00000219169.9	5669	5779	5779
ENST00000219197.11	0	194	2058
ENST00000219204.8	6798	6896	6896
ENST00000219207.10	1546	1668	27624
ENST00000219235.5	4687	4768	4768
ENST00000219240.9	8259	8341	15431
ENST00000219244.9	0	69	1925
ENST00000219251.13	946	1032	2611
ENST00000219252.10	0	85	8391
ENST00000219255.3	416	638	1605
ENST00000219271.4	15880	16018	19092
ENST00000219281.8	15850	15955	18758
ENST00000219299.8	12370	12525	29759
ENST00000219301.8	13505	13589	13589
ENST00000219302.8	418	519	882
ENST00000219313.9	3200	3291	8815
ENST00000219315.9	253	559	3488
ENST00000219320.9	9938	10036	12738
ENST00000219322.7	0	635	9063
ENST00000219334.10	3808	3883	10972
ENST00000219343.11	19978	20074	22598
ENST00000219345.10	9855	9953	14227
ENST00000219368.8	25830	25922	60562
ENST00000219400.8	21218	21298	21298
ENST00000219406.11	1708	1845	3940
ENST00000219409.8	1934	2130	2130
ENST00000219431.4	0	38	6481
ENST00000219439.9	6469	6688	6688
ENST00000219454.10	31910	31965	31965
ENST00000219473.12	59272	59381	78988
ENST00000219476.9	39432	39523	39991
ENST00000219478.11	10194	10377	13599
ENST00000219479.7	2404	2516	3116
ENST00000219481.10	5461	5596	9611
ENST00000219535.7	1034	1279	1279
ENST00000219542.3	0	55	1698
ENST00000219548.9	1639	1755	1960
ENST00000219551.2	1679	1947	1947
ENST00000219596.6	5765	5860	13443
ENST00000219599.8	19298	19467	19467
ENST00000219611.7	5766	5932	6674
ENST00000219660.6	11398	11443	11443
ENST00000219689.12	22575	22755	81221
ENST00000219700.10	3887	4013	4228
ENST00000219746.14	107409	107495	107495
ENST00000219782.11	0	191	3037
ENST00000219789.11	250	331	3665
ENST00000219794.11	1464	1537	3038
ENST00000219797.9	2504	2578	13574
ENST00000219821.9	0	309	41256
ENST00000219833.13	0	273	48574
